run,C,Unnamed: 0,algorithm,alpha,bootstrap,cache_size,coef0,copy_X,criterion,degree,epsilon,fit_intercept,gamma,kernel,l1_ratio,leaf_size,max_depth,max_features,max_iter,max_leaf_nodes,mean_absolute_error,mean_squared_error,median_absolute_error,metric,metric_params,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,n_neighbors,normalize,oob_score,p,positive,precompute,presort,r2_score,random_state,selection,shrinking,splitter,tol,verbose,warm_start,weights
3f9d1cab,,17-AAG,kd_tree,,,,,,,,,,,,,30.0,,,,,0.26094846800082216,0.09585367655116676,0.2632806763416815,minkowski,,,,,,,,-1.0,27.0,,,4.0,,,,-0.03284540686337456,,,,,,,,distance
3f9d1cab,,Crizotinib,ball_tree,,,,,,,,,,,,,30.0,,,,,0.14594120493022175,0.03943537312050696,0.11414216369664812,minkowski,,,,,,,,-1.0,29.0,,,4.0,,,,-0.007566887504634634,,,,,,,,distance
3f9d1cab,,Erlotinib,kd_tree,,,,,,,,,,,,,30.0,,,,,0.15547856126261878,0.042929238251104486,0.12673432536233464,minkowski,,,,,,,,-1.0,28.0,,,2.0,,,,-0.03256905771358909,,,,,,,,uniform
3f9d1cab,,Lapatinib,ball_tree,,,,,,,,,,,,,30.0,,,,,0.13844331404135524,0.035819627396001065,0.10882461670457112,minkowski,,,,,,,,-1.0,28.0,,,1.0,,,,-0.0017358933845166293,,,,,,,,uniform
3f9d1cab,,Nilotinib,kd_tree,,,,,,,,,,,,,30.0,,,,,0.104210058217659,0.01949210185083181,0.0921960175927208,minkowski,,,,,,,,-1.0,29.0,,,1.0,,,,-0.04040786235905092,,,,,,,,uniform
3f9d1cab,,Nutlin-3,kd_tree,,,,,,,,,,,,,30.0,,,,,0.13083150133152507,0.03282197315491213,0.093047622500835,minkowski,,,,,,,,-1.0,21.0,,,1.0,,,,-0.09019137531924383,,,,,,,,uniform
3f9d1cab,,PD-0325901,kd_tree,,,,,,,,,,,,,30.0,,,,,0.21601972249104706,0.06869765812108006,0.2044010099095612,minkowski,,,,,,,,-1.0,29.0,,,4.0,,,,-0.034404932509976234,,,,,,,,uniform
3f9d1cab,,PD-0332991,ball_tree,,,,,,,,,,,,,30.0,,,,,0.1736119290158318,0.044983555044759364,0.157830584859843,minkowski,,,,,,,,-1.0,29.0,,,1.0,,,,-0.030502823810942825,,,,,,,,uniform
3f9d1cab,,PHA-665752,kd_tree,,,,,,,,,,,,,30.0,,,,,0.11173294995595356,0.023255712360637858,0.08343173796014874,minkowski,,,,,,,,-1.0,29.0,,,3.0,,,,-0.043864961292899414,,,,,,,,uniform
3f9d1cab,,PLX-4720,ball_tree,,,,,,,,,,,,,30.0,,,,,0.13266903375744446,0.03412803923958448,0.10258659755651127,minkowski,,,,,,,,-1.0,27.0,,,1.0,,,,-0.07895945284054663,,,,,,,,distance
3f9d1cab,,Paclitaxel,ball_tree,,,,,,,,,,,,,30.0,,,,,0.2638219689456411,0.09850539648082428,0.23298827895578555,minkowski,,,,,,,,-1.0,27.0,,,2.0,,,,-0.015365497813315754,,,,,,,,uniform
3f9d1cab,,Saracatinib,kd_tree,,,,,,,,,,,,,30.0,,,,,0.17136077769569152,0.04536515024262035,0.16411245005770492,minkowski,,,,,,,,-1.0,29.0,,,4.0,,,,-0.003895179204217225,,,,,,,,distance
3f9d1cab,,Selumetinib,kd_tree,,,,,,,,,,,,,30.0,,,,,0.19172057190315733,0.0545833372740399,0.17306248807047736,minkowski,,,,,,,,-1.0,29.0,,,1.0,,,,-0.024433018730703585,,,,,,,,distance
3f9d1cab,,Sorafenib,ball_tree,,,,,,,,,,,,,30.0,,,,,0.1332544515914602,0.02923381306750408,0.10723171732192964,minkowski,,,,,,,,-1.0,27.0,,,3.0,,,,-0.054410562110577036,,,,,,,,uniform
3f9d1cab,,TAE684,kd_tree,,,,,,,,,,,,,30.0,,,,,0.2215389472253415,0.07000503667464457,0.21027485488371614,minkowski,,,,,,,,-1.0,28.0,,,2.0,,,,-0.050683048547887966,,,,,,,,distance
7a6d4cba,,A-770041,kd_tree,,,,,,,,,,,,,30.0,,,,,0.17717316001037087,0.04480449393085865,0.16227470251489973,minkowski,,,,,,,,-1.0,14.0,,,1.0,,,,0.10196745319557043,,,,,,,,distance
7a6d4cba,,AKT inhibitor VIII,ball_tree,,,,,,,,,,,,,30.0,,,,,0.10591413690540984,0.01714436357782992,0.10008518505063524,minkowski,,,,,,,,-1.0,24.0,,,1.0,,,,0.07718386827333201,,,,,,,,distance
7a6d4cba,,AZ628,kd_tree,,,,,,,,,,,,,30.0,,,,,0.1752588901949942,0.04779102298657865,0.15100066824352168,minkowski,,,,,,,,-1.0,7.0,,,4.0,,,,0.1699903995061406,,,,,,,,distance
7a6d4cba,,AZD7762,kd_tree,,,,,,,,,,,,,30.0,,,,,0.21090791479807885,0.06604343336639122,0.18447990019176055,minkowski,,,,,,,,-1.0,13.0,,,2.0,,,,0.09052572672130932,,,,,,,,distance
7a6d4cba,,AZD8055,kd_tree,,,,,,,,,,,,,30.0,,,,,0.1590181793749828,0.03784279075995608,0.13022330460543854,minkowski,,,,,,,,-1.0,21.0,,,1.0,,,,0.06956049887674343,,,,,,,,distance
7a6d4cba,,Axitinib,kd_tree,,,,,,,,,,,,,30.0,,,,,0.12442239224581968,0.029993485925838514,0.08981225255735859,minkowski,,,,,,,,-1.0,11.0,,,3.0,,,,-0.007115658011757287,,,,,,,,distance
7a6d4cba,,BMS-536924,ball_tree,,,,,,,,,,,,,30.0,,,,,0.1996013543578604,0.06043776965343928,0.15924270280053654,minkowski,,,,,,,,-1.0,28.0,,,1.0,,,,0.09806874522280506,,,,,,,,distance
7a6d4cba,,CCT007093,ball_tree,,,,,,,,,,,,,30.0,,,,,0.05860700216224635,0.005132049345455665,0.05255785812106503,minkowski,,,,,,,,-1.0,28.0,,,3.0,,,,-0.055163545001738916,,,,,,,,uniform
7a6d4cba,,CGP-082996,ball_tree,,,,,,,,,,,,,30.0,,,,,0.09729016754990204,0.015314955985492809,0.08003743717393066,minkowski,,,,,,,,-1.0,15.0,,,4.0,,,,0.06633294846979376,,,,,,,,distance
7a6d4cba,,DMOG,kd_tree,,,,,,,,,,,,,30.0,,,,,0.1814195825410693,0.049065421026445295,0.1646924381100594,minkowski,,,,,,,,-1.0,19.0,,,3.0,,,,0.12816302022599302,,,,,,,,uniform
7a6d4cba,,Embelin,kd_tree,,,,,,,,,,,,,30.0,,,,,0.18037474433023226,0.049055385903545586,0.1645041336219112,minkowski,,,,,,,,-1.0,20.0,,,3.0,,,,-0.01995658659257371,,,,,,,,distance
7a6d4cba,,GDC-0941,kd_tree,,,,,,,,,,,,,30.0,,,,,0.18317321086448266,0.04884588315097965,0.17013814093876245,minkowski,,,,,,,,-1.0,16.0,,,2.0,,,,0.055093617532606436,,,,,,,,uniform
7a6d4cba,,Imatinib,kd_tree,,,,,,,,,,,,,30.0,,,,,0.09090260286400358,0.03361345001776669,0.03950718511852125,minkowski,,,,,,,,-1.0,26.0,,,4.0,,,,-0.014177480507629348,,,,,,,,distance
7a6d4cba,,JNK-9L,ball_tree,,,,,,,,,,,,,30.0,,,,,0.15333356337771856,0.037896461023497065,0.1232039042046969,minkowski,,,,,,,,-1.0,26.0,,,2.0,,,,0.0541362226052966,,,,,,,,distance
7a6d4cba,,KU-55933,kd_tree,,,,,,,,,,,,,30.0,,,,,0.08287198752595487,0.012391186433487586,0.06979685222964893,minkowski,,,,,,,,-1.0,17.0,,,2.0,,,,0.03906387892981511,,,,,,,,uniform
